Cod_component,origem,motivo
T0911,df_produto_fornecedor,Custo do produto igual a 0.0
T0911L,df_produto_fornecedor,Custo do produto igual a 0.0
T0912L,df_produto_fornecedor,Custo do produto igual a 0.0
T0913L,df_produto_fornecedor,Custo do produto igual a 0.0
T0914L,df_produto_fornecedor,Custo do produto igual a 0.0
T0922,df_produto_fornecedor,Custo do produto igual a 0.0
T0922L,df_produto_fornecedor,Custo do produto igual a 0.0
T0923,df_produto_fornecedor,Custo do produto igual a 0.0
T0924,df_produto_fornecedor,Custo do produto igual a 0.0
T0925,df_produto_fornecedor,Custo do produto igual a 0.0
T0926,df_produto_fornecedor,Custo do produto igual a 0.0
T0927,df_produto_fornecedor,Custo do produto igual a 0.0
T0928L,df_produto_fornecedor,Custo do produto igual a 0.0
T0929,df_produto_fornecedor,Custo do produto igual a 0.0
T0930L,df_produto_fornecedor,Custo do produto igual a 0.0
T0931,df_produto_fornecedor,Custo do produto igual a 0.0
T0932,df_produto_fornecedor,Custo do produto igual a 0.0
T0934L,df_produto_fornecedor,Custo do produto igual a 0.0
T3170,df_produto_fornecedor,Custo do produto igual a 0.0
T3173,df_produto_fornecedor,Custo do produto igual a 0.0
T323.88,df_produto_fornecedor,Custo do produto igual a 0.0
T3245,df_produto_fornecedor,Custo do produto igual a 0.0
T367.88,df_produto_fornecedor,Custo do produto igual a 0.0
T368.88,df_produto_fornecedor,Custo do produto igual a 0.0
T375.88,df_produto_fornecedor,Custo do produto igual a 0.0
T376.88,df_produto_fornecedor,Custo do produto igual a 0.0
T377.88,df_produto_fornecedor,Custo do produto igual a 0.0
T4068,df_produto_fornecedor,Custo do produto igual a 0.0
T4072,df_produto_fornecedor,Custo do produto igual a 0.0
T4088,df_produto_fornecedor,Custo do produto igual a 0.0
