Cod_component,origem,motivo
C019024,df_produto_fornecedor,Custo do produto igual a 0.0
C10000,df_produto_fornecedor,Custo do produto igual a 0.0
C1300,df_produto_fornecedor,Custo do produto igual a 0.0
C1301,df_produto_fornecedor,Custo do produto igual a 0.0
C1302,df_produto_fornecedor,Custo do produto igual a 0.0
C1304,df_produto_fornecedor,Custo do produto igual a 0.0
C1306,df_produto_fornecedor,Custo do produto igual a 0.0
C1308,df_produto_fornecedor,Custo do produto igual a 0.0
C1311,df_produto_fornecedor,Custo do produto igual a 0.0
C1312,df_produto_fornecedor,Custo do produto igual a 0.0
C1313,df_produto_fornecedor,Custo do produto igual a 0.0
C1314,df_produto_fornecedor,Custo do produto igual a 0.0
C1316,df_produto_fornecedor,Custo do produto igual a 0.0
C1317,df_produto_fornecedor,Custo do produto igual a 0.0
C1318,df_produto_fornecedor,Custo do produto igual a 0.0
C1319,df_produto_fornecedor,Custo do produto igual a 0.0
C1320,df_produto_fornecedor,Custo do produto igual a 0.0
C1324,df_produto_fornecedor,Custo do produto igual a 0.0
C1325,df_produto_fornecedor,Custo do produto igual a 0.0
C1327,df_produto_fornecedor,Custo do produto igual a 0.0
C1329,df_produto_fornecedor,Custo do produto igual a 0.0
C1330,df_produto_fornecedor,Custo do produto igual a 0.0
C1331,df_produto_fornecedor,Custo do produto igual a 0.0
C1332,df_produto_fornecedor,Custo do produto igual a 0.0
C1333,df_produto_fornecedor,Custo do produto igual a 0.0
C1334,df_produto_fornecedor,Custo do produto igual a 0.0
C1335,df_produto_fornecedor,Custo do produto igual a 0.0
C1336,df_produto_fornecedor,Custo do produto igual a 0.0
C1338,df_produto_fornecedor,Custo do produto igual a 0.0
C1341,df_produto_fornecedor,Custo do produto igual a 0.0
