periodo,tipo,n_componentes,volume_observado,volume_predito_xgb,volume_baseline,valor_unitario_medio,mae_xgb,wmape_xgb,bias_xgb,bias_pct_xgb,mae_mm12,wmape_mm12,bias_mm12,bias_pct_mm12,melhoria_mae_xgb,melhoria_wmape_xgb
2020-02-01,treino,352.0,42555.0,41381.55937579274,0.0,74.55142992424237,nan,nan,1173.4406242072582,2.757468274485391,nan,nan,42555.0,100.0,nan,nan
2020-03-01,treino,352.0,16210.0,18407.70910142362,42555.0,74.55142992424237,27.17411394908347,0.3693731892986323,-2197.709101423621,-13.557736591138934,126.66363636363636,1.721717639789929,-26345.0,-162.52313386798272,78.54623889758714,78.54623889758714
2020-04-01,treino,352.0,11234.0,13880.78251376748,29382.5,74.55142992424237,23.09512897753822,0.46472411884374426,-2646.782513767481,-23.560463893248006,84.51116071428571,1.7005479698167445,-18148.5,-161.54975965818053,72.67209587190744,72.67209587190744
2020-05-01,treino,352.0,18579.0,21334.89291226864,23333.0,74.55142992424237,30.061345519699575,0.37376450912592724,-2755.8929122686386,-14.833375920494312,42.18759018759019,0.5245348691174624,-4754.0,-25.588029495667154,28.743629617075506,28.743629617075506
2020-06-01,treino,352.0,31404.0,31866.23303772509,22144.5,74.55142992424237,38.91227611960658,0.28622900852213473,-462.233037725091,-1.4718922357823556,58.714285714285715,0.4318876576232327,9259.5,29.48509743981658,33.726050404563004,33.72605040456301
2020-07-01,treino,352.0,33005.0,34138.499987363815,23996.4,74.55142992424237,32.33376942439513,0.22743912110338838,-1133.4999873638153,-3.4343280938155285,46.247619047619054,0.32531059683313035,9008.599999999999,27.294652325405238,30.085547990908402,30.085547990908402
2020-08-01,treino,352.0,34206.0,35890.263339191675,25497.833333333332,74.55142992424237,33.86501163586657,0.23282752799592302,-1684.2633391916752,-4.923882766741727,46.40354609929077,0.3190320158372585,8708.166666666668,25.45800931610439,27.020638544725006,27.020638544725013
2020-09-01,treino,352.0,50162.0,46313.515802025795,26741.857142857145,74.55142992424237,48.77266092775232,0.23523150451544075,3848.484197974205,7.672110757095421,98.94733656174334,0.4772249535798951,23420.142857142855,46.68901331115756,50.70846510626582,50.70846510626581
2020-10-01,treino,352.0,56175.0,52945.56750792265,29669.375,74.55142992424237,47.33792136659225,0.20224479088530734,3229.4324920773506,5.748878490569383,118.0890625,0.5045193591455274,26505.625,47.18402314196707,59.91337354668875,59.91337354668875
2020-11-01,treino,352.0,59714.0,58209.92625897378,32614.444444444445,74.55142992424237,45.35071603953838,0.18228085025354143,1504.0737410262227,2.5187958284928538,117.6236111111111,0.47277162778494186,27099.555555555555,45.38224797460487,61.44420698264517,61.444206982645156
2020-12-01,treino,352.0,80933.0,73669.65814998746,35324.399999999994,74.55142992424237,69.65278426814376,0.2078389546173222,7263.341850012541,8.974512065551185,197.78174273858917,0.590166654285219,45608.6,56.35352699146207,64.78300610375103,64.78300610375105
2021-01-01,treino,352.0,56585.0,57182.524681672454,39470.63636363637,74.55142992424237,59.23947853007452,0.2575993728063058,-597.5246816724539,-1.0559771700494016,98.01071692535106,0.426193812551021,17114.363636363636,30.24540715094749,39.558162220980684,39.558162220980684
2021-02-01,treino,352.0,61110.0,64011.92704433203,40896.83333333333,74.55142992424237,44.551131826421994,0.18007084865204112,-2901.9270443320274,-4.748694230620238,99.43117408906883,0.4018900343642612,20213.166666666668,33.07669230349643,55.19400003613172,55.194000036131705
2021-03-01,treino,352.0,42593.0,45338.03959104419,42443.08333333333,74.55142992424237,51.116596562177065,0.29642897543863395,-2745.0395910441875,-6.444813915535858,83.41734143049933,0.48374341636732177,149.91666666666646,0.35197489415318584,38.72185844622514,38.72185844622514
2021-04-01,treino,352.0,34481.0,37217.820215664804,44641.666666666664,74.55142992424237,45.39401128839867,0.3251738867270228,-2736.820215664804,-7.937183421782443,85.47773279352226,0.6123082277196137,-10160.666666666668,-29.467436172578136,46.893758403663746,46.893758403663746
