tipo,valor_observado_total,valor_predito_xgb_total,valor_predito_mm_total,erro_abs_financeiro_xgb_total,erro_abs_financeiro_mm_total,bias_financeiro_xgb_total,bias_financeiro_mm_total,wmape_financeiro_xgb,wmape_financeiro_mm,bias_financeiro_pct_xgb,bias_financeiro_pct_mm,melhoria_wmape_financeira
teste,64057529.27,77170886.14904286,70449038.84916666,27042485.75919621,25476727.55361111,-13113356.879042853,-6391509.579166667,0.42215936311269797,0.3977163628373441,-0.2047121865061414,-0.09977764756156457,-6.145837224542474
treino,204892443.47166666,204764787.58617076,183550994.54725018,52221243.204644665,87817144.62203553,127655.88549590558,21341448.924416486,0.2548714941352438,0.42860118769670114,0.0006230385236903983,0.10415927773035547,40.53411389153612
