Cod_component,origem,motivo
K20012,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20036,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20045,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20048,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20049,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20051,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20055,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20055F,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20055S,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20056,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20057,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20058,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20059,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20060,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20061,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20062,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20063,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20065,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20066,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
K20088,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3128,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3133,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3137,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3142,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3146,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3147,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3148,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3153,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3154,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
R3156,df_sales_forecast,Previsao de venda zerada ou negativa (QTDE_PEDIDA <= 0)
